event_id,timestamp,phase,tool_id,chamber_id,recipe_group,monitor_type,metric_name,value,measurement_id,ucl,cl,lcl,rule_triggered,severity,suggested_review_area,status,comment,event_source,method_type
EVT-000001,2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_BASELINE,Thickness,thickness_rtr_mean,100.06060943415952,MEA_79c5ca41e6d4,100.07001319308533,100.00201068215334,99.93400817122135,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000002,2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.24057165227921,MEA_5287acc1c7d6,100.2504527291443,100.1822200974242,100.11398746570411,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000003,2026-01-01 08:00:00,baseline,RTO_A01,CH2,RTO_BASELINE,Thickness,thickness_rtr_mean,100.10054068647857,MEA_1ab60ebacb2e,100.1099945840994,100.04211922217503,99.97424386025067,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000004,2026-01-01 08:00:00,baseline,RTO_A01,CH2,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.28127494180532,MEA_e40ce92fbf39,100.28995819409856,100.22168526340963,100.15341233272069,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000005,2026-01-01 08:00:00,baseline,RTO_A02,CH1,RTO_BASELINE,Thickness,thickness_rtr_mean,100.05792984377192,MEA_e80d9ca896be,100.0682125843133,100.0014052314129,99.9345978785125,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000006,2026-01-01 08:00:00,baseline,RTO_A02,CH1,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.2391832227455,MEA_03de32c80099,100.24961018515963,100.18206481311789,100.11451944107615,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000007,2026-01-01 08:00:00,baseline,RTO_A02,CH2,RTO_BASELINE,Thickness,thickness_rtr_mean,100.09954141469291,MEA_3a9513a6b997,100.1095375765466,100.0423961014331,99.9752546263196,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000008,2026-01-01 08:00:00,baseline,RTO_A02,CH2,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.28193459847171,MEA_3efc346a7a53,100.29057229434076,100.22264079680009,100.15470929925942,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000009,2026-01-01 08:00:00,baseline,RTO_A03,CH1,RTO_BASELINE,Thickness,thickness_rtr_mean,100.05945814373969,MEA_975b852875ef,100.06955499373187,100.0020077451199,99.93446049650792,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000010,2026-01-01 08:00:00,baseline,RTO_A03,CH1,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.24057643812618,MEA_53c50a65a3c4,100.24963701899992,100.18226680063339,100.11489658226685,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
